feature,importance_mean
value_eur,0.14930060702032194
movement_reactions,0.006835576669305832
age,0.003985220374769028
defending,0.003694906307732859
wage_eur,0.002665610979150168
shooting,0.0024808656637635095
mentality_positioning,0.0023752969121139888
mentality_composure,0.002322512536289234
defending_standing_tackle,0.0022697281604644793
skill_ball_control,0.0021905515967273305
attacking_short_passing,0.002084982845077832
goalkeeping_positioning,0.00205859065716546
defending_sliding_tackle,0.002005806281340694
mentality_interceptions,0.0019002375296911956
dribbling,0.0018474531538664296
power_long_shots,0.0016627078384798045
attacking_heading_accuracy,0.0015043547110055178
power_shot_power,0.0015043547110055178
goalkeeping_diving,0.0015043547110055178
attacking_crossing,0.0014515703351807518
